Performance{timestamp=Fri Dec 23 22:35:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=0.0, GPU=80.86350423999666}
Performance{timestamp=Fri Dec 23 22:36:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.5032361877423406, GPU=75.13273108193374}
Performance{timestamp=Fri Dec 23 22:37:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.334354783784475, GPU=35.169261213971915}
Performance{timestamp=Fri Dec 23 22:38:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.2727829893238063, GPU=6.028738255011701}
Performance{timestamp=Fri Dec 23 22:39:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.3756264054973988, GPU=0.432928722336956}
Performance{timestamp=Fri Dec 23 22:40:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.2142033616371672, GPU=98.12813168040685}
Performance{timestamp=Fri Dec 23 22:41:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.3304471751495628, GPU=12.93493854988288}
Performance{timestamp=Fri Dec 23 22:42:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.4492100319102752, GPU=48.97369978966201}
Performance{timestamp=Fri Dec 23 22:43:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.2068943254896602, GPU=18.70259406633621}
Performance{timestamp=Fri Dec 23 22:44:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=2.375389329311861, GPU=63.7536171285907}
Performance{timestamp=Fri Dec 23 22:45:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.8341387576405688, GPU=89.98506768635241}
Performance{timestamp=Fri Dec 23 22:46:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.5874651814433371, GPU=29.699246422464388}
Performance{timestamp=Fri Dec 23 22:47:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=2.323077719044675, GPU=93.61428612364277}
Performance{timestamp=Fri Dec 23 22:48:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.0476703892737915, GPU=13.27718709974678}
Performance{timestamp=Fri Dec 23 22:49:56 CET 2022, hostName='Dell', ipAddress='192.168.37.18', CPU=1.3772510972255958, GPU=27.9598202470947}
